15027,51,6,,,
15135,92,10,,,
15973,75,8,,,
16045,67,7,,,
16253,78,8,,, 
16273,69,7,,,
16536,64,7,,,
16546,53,6,,,
16617,71,8,,,
16677,71,8,,,
16845,58,6,,,
16902,71,8,,,
16981,59,6,,,
17024,65,7,,,
17162,79,8,,,
17244,54,6,,,
17369,67,7,,,
17457,67,7,,,
17469,81,9,,,
17475,70,7,,,
17532,87,9,,,
17541,70,7,,,
17543,53,6,,,
17546,61,7,,,
17557,91,10,,,
17559,62,7,,,
17561,74,8,,,
17564,53,6,,,
17575,54,6,,,
17576,63,7,,,
17577,73,8,,,
17586,85,9,,,
17588,69,7,,,
17593,83,9,,,
17607,78,8,,,
17633,89,9,,,
17636,68,7,,,
17647,69,7,,,
17652,78,8,,,
17657,71,8,,,
17670,55,6,,,
17678,54,6,,,
17688,75,8,,,
17711,66,7,,,
17722,53,6,,,
17748,59,6,,,
17761,81,9,,,
17768,67,7,,,
17781,94,10,,,
17807,94,10,,,
17832,95,10,,,
17840,69,7,,,
17855,58,6,,,
17859,79,8,,,
17863,94,10,,,
17875,65,7,,,
17895,56,6,,,
17899,56,6,,,
17902,61,7,,,
17920,68,7,,,
17928,78,8,,,
17931,53,6,,,
17955,85,9,,,
17969,91,10,,,
17973,55,6,,,
17978,55,6,,,
17979,67,7,,,
17983,72,8,,,
17988,58,6,,,
17996,54,6,,,
17998,75,8,,,
18001,52,6,,,
18013,52,6,,,
18017,58,6,,,
18021,68,7,,,
18036,78,8,,,
18046,59,6,,,
